train/rewards/chosen,train/rewards/rejected,train/rewards/margins
-13.280766487121582,-23.585241317749023,10.304474830627441
-13.187413215637207,-24.48105812072754,11.293645858764648
-13.429057121276855,-25.70156478881836,12.272506713867188
-16.515758514404297,-30.46024513244629,13.944485664367676
,,
-18.624725341796875,-33.12605667114258,14.50132942199707
-16.908315658569336,-31.816879272460938,14.908563613891602
-20.06796646118164,-36.377479553222656,16.309513092041016
-20.74191665649414,-38.341163635253906,17.5992431640625
-20.853900909423828,-38.188018798828125,17.334123611450195
,,
-20.45233154296875,-38.38807678222656,17.93574333190918
-21.511581420898438,-39.6861686706543,18.17459487915039
-21.985641479492188,-39.78374099731445,17.7981014251709
-20.405656814575195,-39.3504753112793,18.94481658935547
-20.59658432006836,-39.178768157958984,18.58218765258789
-20.16999053955078,-39.580875396728516,19.410888671875
-23.26583480834961,-44.657875061035156,21.392040252685547
-24.094083786010742,-44.236297607421875,20.142215728759766
-24.67259407043457,-47.677913665771484,23.00532341003418
-22.67598533630371,-43.1563835144043,20.480396270751953
-24.00621795654297,-45.59987258911133,21.59365463256836
-26.440500259399414,-48.72850799560547,22.288007736206055
-26.025218963623047,-49.022552490234375,22.997333526611328
-26.540706634521484,-50.45267868041992,23.911968231201172
,,
-25.95155906677246,-48.48493194580078,22.533374786376953
,,
-24.892356872558594,-46.53072738647461,21.63837242126465
-26.069604873657227,-50.15771484375,24.088106155395508
-27.46378517150879,-50.17719268798828,22.71340560913086
-26.513019561767578,-50.071250915527344,23.5582332611084
-27.3615779876709,-49.39753723144531,22.03595542907715
,,
-29.373687744140625,-52.4898567199707,23.116172790527344
-26.3607177734375,-50.494014739990234,24.133296966552734
-27.161901473999023,-51.93627166748047,24.774370193481445
-27.356130599975586,-52.107177734375,24.751047134399414
-29.106271743774414,-51.88691329956055,22.7806453704834
-27.3940486907959,-51.75695037841797,24.36290168762207
,,
-27.659713745117188,-54.14970016479492,26.489980697631836
-28.896825790405273,-53.829193115234375,24.93236541748047
-27.64443588256836,-52.59086990356445,24.94643783569336
-28.631515502929688,-53.487693786621094,24.85618019104004
-28.41074562072754,-52.48065185546875,24.069904327392578
-28.273120880126953,-53.30859375,25.035472869873047
-27.851781845092773,-53.15130615234375,25.299530029296875
-28.766765594482422,-54.46955108642578,25.702783584594727
-28.777685165405273,-55.73786544799805,26.960180282592773
-28.66780662536621,-54.169715881347656,25.501903533935547
-28.84598159790039,-52.58271408081055,23.736736297607422
-28.24397850036621,-54.617881774902344,26.3739070892334
-28.33090591430664,-57.50761032104492,29.17670249938965
-27.75661849975586,-51.8642692565918,24.107654571533203
-28.27004623413086,-53.14992141723633,24.879865646362305
-27.905742645263672,-51.72456741333008,23.818822860717773
-28.76935386657715,-53.80324172973633,25.03388214111328
-29.004486083984375,-53.57950973510742,24.57501983642578
,,
-29.223175048828125,-52.158409118652344,22.935237884521484
-28.311193466186523,-55.14232635498047,26.831130981445312
-29.1303653717041,-53.85939407348633,24.729034423828125
-29.070688247680664,-54.80800247192383,25.737314224243164
-29.37093734741211,-53.48682403564453,24.115886688232422
-28.179555892944336,-51.64069747924805,23.46114730834961
-28.37900733947754,-55.01521682739258,26.636211395263672
-31.353057861328125,-55.4156608581543,24.062606811523438
-28.530288696289062,-53.843849182128906,25.31355857849121
,,
-29.259540557861328,-53.949684143066406,24.690147399902344
,,
-30.3482666015625,-55.28319549560547,24.934926986694336
-28.440555572509766,-55.1646728515625,26.72412109375
,,
-30.42778968811035,-58.1014404296875,27.67365074157715
-29.98032569885254,-56.44641876220703,26.46609115600586
-31.485103607177734,-57.98651123046875,26.50140380859375
-32.813533782958984,-57.306678771972656,24.493144989013672
-30.307743072509766,-56.823875427246094,26.516132354736328
-29.619516372680664,-56.00458908081055,26.385082244873047
-29.4807186126709,-54.46064376831055,24.979923248291016
-28.890405654907227,-54.25746536254883,25.367061614990234
-30.626394271850586,-55.8114128112793,25.185022354125977
-29.26495361328125,-55.47216796875,26.20721435546875
,,
-28.921422958374023,-54.56404495239258,25.642623901367188
-31.329269409179688,-57.2131462097168,25.88387680053711
-30.962100982666016,-55.2359733581543,24.27387046813965
-30.176315307617188,-54.37200164794922,24.195690155029297
-28.70401382446289,-54.074195861816406,25.370182037353516
-29.330358505249023,-55.11552810668945,25.785165786743164
-28.2741756439209,-51.59482955932617,23.32065200805664
-30.81064796447754,-57.45280075073242,26.642154693603516
-29.335973739624023,-55.43427658081055,26.098312377929688
-33.52405548095703,-57.36643600463867,23.84238052368164
-30.463314056396484,-56.58563995361328,26.122323989868164
-31.365123748779297,-55.60651779174805,24.241390228271484
-29.393423080444336,-54.78252410888672,25.389101028442383
-29.873859405517578,-55.34352493286133,25.46966552734375
-30.52566909790039,-55.14411163330078,24.618446350097656
,,
,,
-30.359386444091797,-56.94858932495117,26.589202880859375
-31.525915145874023,-55.31803512573242,23.7921199798584
-29.29425621032715,-55.001747131347656,25.707489013671875
-30.818063735961914,-57.52302932739258,26.704965591430664
-31.319433212280273,-58.732635498046875,27.4132022857666
-30.19820785522461,-56.18292236328125,25.984716415405273
-30.715312957763672,-56.98748016357422,26.27216148376465
,,
-31.889007568359375,-55.296730041503906,23.407718658447266
-30.263076782226562,-56.243003845214844,25.97992515563965
-30.54903793334961,-57.36176681518555,26.812734603881836
-30.323802947998047,-58.221107482910156,27.89730453491211
-29.225383758544922,-53.78325271606445,24.557870864868164
-31.081628799438477,-56.461273193359375,25.379648208618164
-31.381954193115234,-56.78740692138672,25.405460357666016
-33.3646125793457,-58.16753005981445,24.802913665771484
-30.645889282226562,-56.23321533203125,25.587329864501953
-30.98831558227539,-55.325416564941406,24.33710289001465
-29.351511001586914,-57.98932647705078,28.637807846069336
-29.532943725585938,-55.097412109375,25.564470291137695
-30.30666732788086,-54.82563400268555,24.518962860107422
-30.645305633544922,-55.0538444519043,24.40854263305664
-30.75429344177246,-55.70843505859375,24.954133987426758
-32.41748809814453,-57.11341094970703,24.6959171295166
-32.24609375,-56.83710861206055,24.59101676940918
-32.210357666015625,-58.07725143432617,25.866891860961914
,,
-31.36598777770996,-57.2048225402832,25.838830947875977
-31.50718116760254,-56.4622688293457,24.9550838470459
-30.19254493713379,-55.976318359375,25.783771514892578
-31.539852142333984,-56.677467346191406,25.13761329650879
-30.66301918029785,-55.4094123840332,24.746389389038086
,,
-31.760406494140625,-58.439537048339844,26.679134368896484
-32.08118438720703,-59.265777587890625,27.18459129333496
-31.77535057067871,-57.527931213378906,25.752574920654297
,,
-30.015466690063477,-55.52781295776367,25.512348175048828
-31.87848472595215,-56.677947998046875,24.799463272094727
-31.70046043395996,-56.434326171875,24.733867645263672
-32.30120086669922,-58.179344177246094,25.87813949584961
-32.3034553527832,-59.369041442871094,27.06559181213379
-31.259450912475586,-57.2764892578125,26.017040252685547
-31.6186580657959,-56.23492431640625,24.61626434326172
-32.6568717956543,-57.6009635925293,24.944093704223633
-32.32164764404297,-57.6747932434082,25.35313606262207
-30.324817657470703,-56.48435592651367,26.159536361694336
-33.48541259765625,-58.7626953125,25.277286529541016
-30.705455780029297,-55.22737503051758,24.521909713745117
-30.439876556396484,-58.92051315307617,28.480640411376953
-32.87368392944336,-58.669677734375,25.795984268188477
-30.57515525817871,-56.06756591796875,25.49241828918457
-31.663034439086914,-58.02162551879883,26.358591079711914
-32.58195114135742,-58.11530685424805,25.53335189819336
-31.381271362304688,-56.304443359375,24.923173904418945
-30.184619903564453,-57.15659713745117,26.97198486328125
-32.758460998535156,-58.443023681640625,25.684566497802734
-31.306259155273438,-59.154518127441406,27.848257064819336
-30.088947296142578,-54.061859130859375,23.972909927368164
-31.52935791015625,-57.50635528564453,25.97699546813965
-30.66769790649414,-55.446197509765625,24.778501510620117
-31.31942367553711,-58.388938903808594,27.06952476501465
-30.990680694580078,-56.014808654785156,25.024127960205078
-34.20533752441406,-58.261322021484375,24.05598258972168
-31.106204986572266,-57.39208984375,26.285884857177734
-31.825908660888672,-56.2644157409668,24.43850326538086
-30.12943458557129,-56.2249755859375,26.095539093017578
-31.755718231201172,-57.74109649658203,25.985376358032227
-29.454748153686523,-55.560890197753906,26.106143951416016
-33.26392364501953,-59.41962814331055,26.15570640563965
-31.469867706298828,-58.40470504760742,26.934833526611328
-31.84699058532715,-57.41514205932617,25.568153381347656
-31.672327041625977,-56.9218635559082,25.249530792236328
-30.024463653564453,-56.24738311767578,26.222919464111328
-30.727519989013672,-57.3659553527832,26.638431549072266
-31.215749740600586,-56.41640090942383,25.200651168823242
-31.87595558166504,-56.86358642578125,24.987632751464844
-32.015811920166016,-57.6242561340332,25.608444213867188
-31.420785903930664,-55.374542236328125,23.953758239746094
-31.92708969116211,-57.79590606689453,25.868810653686523
-29.739795684814453,-55.86793899536133,26.128143310546875
-33.00830841064453,-58.51647186279297,25.50815773010254
,,
-30.579532623291016,-55.93059539794922,25.3510684967041
-32.63134765625,-58.017677307128906,25.38631820678711
-31.385913848876953,-58.51074981689453,27.124828338623047
-32.23747634887695,-58.96773147583008,26.730255126953125
-32.69050216674805,-58.70335006713867,26.01284408569336
-31.610204696655273,-56.882530212402344,25.272327423095703
,,
-32.7785758972168,-57.99092483520508,25.21234703063965
-30.543941497802734,-56.466773986816406,25.922832489013672
-31.792011260986328,-57.293052673339844,25.501047134399414
-29.955408096313477,-55.36133575439453,25.405925750732422
,,
-31.441036224365234,-56.97432327270508,25.533283233642578
-33.09370803833008,-56.5960578918457,23.50234603881836
-31.403629302978516,-56.85881805419922,25.455183029174805
-31.501693725585938,-57.3702507019043,25.86855697631836
,,
-30.984973907470703,-57.2863883972168,26.30141830444336
,,
-32.635902404785156,-56.61165237426758,23.97574234008789
-31.845096588134766,-56.94807052612305,25.102977752685547
-33.02263259887695,-57.9755859375,24.952953338623047
-32.269798278808594,-56.59879684448242,24.32900047302246
-32.11576461791992,-57.41547393798828,25.299701690673828
,,
-29.809803009033203,-54.33274459838867,24.5229434967041
-32.978736877441406,-58.33782196044922,25.35909080505371
-33.688926696777344,-59.1331672668457,25.44423484802246
-31.609289169311523,-58.85285568237305,27.243566513061523
-30.249263763427734,-56.682151794433594,26.43288803100586
,,
-32.30968475341797,-56.82191848754883,24.51223373413086
-30.285938262939453,-54.5916633605957,24.30572509765625
-33.90515899658203,-60.762451171875,26.8572940826416
-31.874359130859375,-57.92066192626953,26.04629898071289
,,
-30.854421615600586,-55.3854866027832,24.531057357788086
-32.07311248779297,-57.375404357910156,25.302295684814453
-33.35335159301758,-58.17396926879883,24.82061767578125
-30.932025909423828,-56.370140075683594,25.438114166259766
-32.45826721191406,-59.12443923950195,26.66617774963379
-32.193782806396484,-57.24016189575195,25.0463809967041
-33.38905715942383,-57.956260681152344,24.567211151123047
,,
-31.00412368774414,-55.75923538208008,24.755107879638672
-32.205108642578125,-56.061500549316406,23.856388092041016
-31.659032821655273,-57.0405387878418,25.38150978088379
-31.42059898376465,-56.751670837402344,25.331069946289062
-33.85683059692383,-59.78926467895508,25.932437896728516
,,
-32.525699615478516,-60.67603302001953,28.150333404541016
-30.816965103149414,-57.853233337402344,27.036273956298828
-31.24275779724121,-54.82841873168945,23.585662841796875
-33.28401184082031,-57.02448654174805,23.740474700927734
-31.480052947998047,-58.159461975097656,26.679407119750977
-31.31622886657715,-56.8878288269043,25.571605682373047
-31.439767837524414,-56.938621520996094,25.498851776123047
-32.1596565246582,-58.04443359375,25.884777069091797
-33.41387176513672,-58.77705001831055,25.363178253173828
-32.008583068847656,-57.03022384643555,25.02164077758789
-31.70029067993164,-59.13957977294922,27.439285278320312
-30.520336151123047,-57.50089645385742,26.98056411743164
-31.237232208251953,-55.2719841003418,24.034751892089844
-31.883081436157227,-56.55413055419922,24.671051025390625
-33.276832580566406,-56.84521484375,23.568382263183594
-31.879730224609375,-56.840843200683594,24.961116790771484
-32.90486526489258,-58.37932205200195,25.47446060180664
-31.025127410888672,-57.440704345703125,26.415573120117188
,,
