train/rewards/chosen,train/rewards/rejected,train/rewards/margins
73.70244598388672,52.82640838623047,20.87603187561035
222.9151153564453,166.8048553466797,56.1102180480957
342.55975341796875,235.7113800048828,106.84837341308594
340.2896423339844,234.1983184814453,106.0913314819336
333.12353515625,211.5293426513672,121.59417724609375
356.90374755859375,247.1547393798828,109.7490463256836
356.4626770019531,229.79006958007812,126.67262268066406
368.4198913574219,246.49502563476562,121.9249038696289
366.2466125488281,220.75186157226562,145.4947509765625
371.696533203125,245.0382080078125,126.65830993652344
357.13616943359375,218.90359497070312,138.23257446289062
357.6369934082031,200.5027618408203,157.13421630859375
359.42755126953125,222.22494506835938,137.2025604248047
358.2486267089844,212.77157592773438,145.47705078125
373.5809631347656,240.70071411132812,132.88021850585938
379.9866638183594,239.4313507080078,140.5553436279297
366.7269592285156,216.2033233642578,150.52362060546875
355.227783203125,212.1578369140625,143.06997680664062
378.28045654296875,216.30105590820312,161.97946166992188
379.0873107910156,227.9328155517578,151.15444946289062
369.35107421875,222.6242218017578,146.7268829345703
370.713623046875,204.9291229248047,165.78448486328125
381.8799743652344,226.2626190185547,155.61737060546875
360.4347839355469,207.0895233154297,153.3452606201172
370.36297607421875,224.35171508789062,146.01126098632812
371.8515319824219,215.81637573242188,156.0351104736328
373.4403381347656,212.2220916748047,161.21826171875
,,
386.42242431640625,207.928955078125,178.49343872070312
368.3428649902344,218.49075317382812,149.85211181640625
365.70965576171875,201.0040740966797,164.70553588867188
,,
342.4310302734375,193.7762908935547,148.65475463867188
360.3072509765625,215.74276733398438,144.56443786621094
361.9306945800781,197.9947052001953,163.93597412109375
362.57562255859375,206.01943969726562,156.55618286132812
379.58203125,225.9347381591797,153.64730834960938
382.8858642578125,216.5382843017578,166.34756469726562
356.627685546875,185.1685791015625,171.45909118652344
365.0614013671875,198.5796356201172,166.4817352294922
391.61871337890625,208.5745086669922,183.044189453125
372.6416931152344,204.5819091796875,168.05975341796875
376.905029296875,203.2490234375,173.65602111816406
399.302978515625,217.95297241210938,181.3499755859375
390.6632995605469,198.32154846191406,192.34176635742188
368.36029052734375,168.09915161132812,200.26112365722656
378.4986267089844,191.42678833007812,187.0718231201172
382.86480712890625,207.67129516601562,175.1934814453125
394.87042236328125,206.3232421875,188.54722595214844
383.58624267578125,219.380615234375,164.20558166503906
383.23004150390625,206.59701538085938,176.63302612304688
380.4239807128906,216.61801147460938,163.8059539794922
393.21484375,211.56201171875,181.65283203125
354.7586975097656,177.78836059570312,176.9703369140625
363.9577941894531,185.3562469482422,178.60150146484375
379.95611572265625,188.34262084960938,191.61346435546875
404.53265380859375,226.24911499023438,178.28353881835938
,,
373.7613525390625,197.91798400878906,175.84335327148438
392.4777526855469,217.66635131835938,174.8114013671875
382.28228759765625,191.86376953125,190.4185028076172
388.94256591796875,206.44241333007812,182.50015258789062
358.983642578125,174.10903930664062,184.87460327148438
381.44415283203125,209.890625,171.5535125732422
400.8886413574219,201.01010131835938,199.8785400390625
368.24176025390625,191.54737854003906,176.6944122314453
358.50811767578125,185.12376403808594,173.38436889648438
385.77008056640625,202.29461669921875,183.47543334960938
405.12127685546875,210.67965698242188,194.441650390625
381.2838439941406,211.051025390625,170.23277282714844
403.0823669433594,190.27682495117188,212.80551147460938
389.2895202636719,211.2587890625,178.03073120117188
388.249755859375,198.12600708007812,190.12374877929688
372.5838317871094,192.43325805664062,180.15057373046875
378.1855773925781,184.3604278564453,193.82513427734375
397.7374267578125,186.58950805664062,211.1478729248047
382.89947509765625,194.4165802001953,188.48289489746094
381.17181396484375,212.9839324951172,168.1878662109375
379.8343200683594,197.1404266357422,182.6938934326172
392.7451171875,200.5949249267578,192.15020751953125
397.6789855957031,186.53884887695312,211.14010620117188
387.7364196777344,189.03334045410156,198.70309448242188
380.70989990234375,191.68301391601562,189.0269012451172
380.22052001953125,186.21417236328125,194.00631713867188
368.39190673828125,196.78517150878906,171.60675048828125
392.1788330078125,199.2920379638672,192.88681030273438
375.9819641113281,181.6520538330078,194.3298797607422
394.52313232421875,191.3018035888672,203.22134399414062
376.2080078125,186.14962768554688,190.05838012695312
388.43841552734375,204.6575164794922,183.78086853027344
380.42877197265625,184.60618591308594,195.8225860595703
379.20208740234375,175.88833618164062,203.31370544433594
373.8348083496094,179.5522003173828,194.28262329101562
375.8742370605469,179.5148162841797,196.35946655273438
,,
382.72723388671875,181.07583618164062,201.65138244628906
381.6307678222656,214.45974731445312,167.17100524902344
387.1087341308594,207.88491821289062,179.2238006591797
387.5775451660156,175.17037963867188,212.4071807861328
400.1411437988281,209.58645629882812,190.5546417236328
385.986572265625,190.1200714111328,195.86648559570312
400.1036071777344,229.16549682617188,170.9381103515625
391.27276611328125,186.45602416992188,204.8166961669922
385.4148254394531,175.95309448242188,209.4617156982422
,,
385.72491455078125,204.51260375976562,181.21231079101562
387.9339294433594,216.14419555664062,171.7897491455078
390.9588317871094,185.08248901367188,205.8763427734375
386.00018310546875,172.22225952148438,213.7779541015625
397.2501220703125,175.42953491210938,221.82058715820312
,,
401.9327392578125,200.40655517578125,201.52615356445312
401.6309509277344,208.3239288330078,193.30709838867188
366.6376953125,184.45126342773438,182.18646240234375
387.33013916015625,201.9578399658203,185.3722686767578
379.11053466796875,184.3710479736328,194.73947143554688
388.3027038574219,173.24966430664062,215.0530548095703
388.08306884765625,181.9827880859375,206.1002960205078
372.5992126464844,172.68161010742188,199.9176025390625
388.7718811035156,159.227783203125,229.54409790039062
401.6318359375,211.5701141357422,190.0617218017578
388.5364685058594,192.10897827148438,196.42745971679688
,,
401.46112060546875,229.2228240966797,172.23828125
373.88525390625,171.88156127929688,202.00369262695312
403.40625,204.3080596923828,199.09820556640625
387.08636474609375,179.5435028076172,207.5428466796875
400.60516357421875,191.81907653808594,208.7860870361328
385.23760986328125,181.37765502929688,203.85995483398438
360.50714111328125,166.52401733398438,193.98312377929688
368.5039978027344,168.04061889648438,200.46340942382812
391.7460632324219,188.1980743408203,203.54800415039062
393.65478515625,181.88014221191406,211.774658203125
373.10546875,182.072998046875,191.03244018554688
399.82745361328125,204.9840545654297,194.84341430664062
373.3731994628906,196.21742248535156,177.15579223632812
401.6627502441406,232.446044921875,169.2167205810547
,,
395.87835693359375,187.598388671875,208.27993774414062
377.04486083984375,174.1656494140625,202.8792266845703
397.45086669921875,191.08352661132812,206.36734008789062
387.9722595214844,189.9447479248047,198.02749633789062
397.80755615234375,198.68325805664062,199.12428283691406
384.4415588378906,182.02731323242188,202.4142303466797
395.4204406738281,200.906494140625,194.51394653320312
,,
394.8784484863281,179.20376586914062,215.67465209960938
363.0542297363281,190.6370391845703,172.4171905517578
,,
383.25616455078125,191.99917602539062,191.25704956054688
363.3601989746094,196.01034545898438,167.349853515625
392.13433837890625,180.5486602783203,211.58572387695312
400.79486083984375,212.6783905029297,188.11647033691406
367.671875,163.7437286376953,203.9281463623047
356.5986633300781,147.9178009033203,208.68087768554688
389.30682373046875,194.7904510498047,194.5164031982422
,,
382.2872009277344,167.00942993164062,215.27774047851562
363.29315185546875,166.74588012695312,196.54725646972656
399.58197021484375,176.46359252929688,223.1183624267578
408.69097900390625,210.40878295898438,198.2821502685547
391.9517517089844,195.95919799804688,195.99252319335938
403.11126708984375,187.21124267578125,215.90005493164062
393.71160888671875,186.139404296875,207.5722198486328
408.66583251953125,213.90573120117188,194.76010131835938
354.2174377441406,151.58578491210938,202.63160705566406
399.66021728515625,199.79757690429688,199.86265563964844
378.0141906738281,187.65658569335938,190.3576202392578
400.7522888183594,172.93325805664062,227.8190460205078
377.8139953613281,183.32850646972656,194.48548889160156
371.5029296875,159.05528259277344,212.4476318359375
384.2441101074219,160.29696655273438,223.9470977783203
402.73651123046875,191.1959228515625,211.5405731201172
390.07855224609375,179.03579711914062,211.042724609375
400.5072021484375,177.45510864257812,223.0521240234375
396.8160705566406,201.82098388671875,194.99505615234375
401.1061706542969,219.9371795654297,181.16897583007812
381.8851318359375,171.9867401123047,209.8983917236328
399.4266052246094,185.49789428710938,213.9287109375
381.1595153808594,156.874755859375,224.28475952148438
391.0877685546875,171.31434631347656,219.7734375
383.708740234375,162.13449096679688,221.5742645263672
378.5497131347656,184.8486328125,193.7011260986328
404.91131591796875,179.41061401367188,225.5006866455078
399.2409973144531,191.71026611328125,207.5307159423828
403.7459411621094,186.87599182128906,216.8699493408203
394.91046142578125,160.41220092773438,234.498291015625
,,
377.88836669921875,208.29736328125,169.59097290039062
379.2530212402344,190.18911743164062,189.06390380859375
392.09881591796875,177.16644287109375,214.932373046875
385.87451171875,168.781005859375,217.093505859375
379.05877685546875,204.43348693847656,174.62533569335938
362.9649353027344,172.896728515625,190.06822204589844
391.9971618652344,171.91976928710938,220.077392578125
389.0694274902344,177.51419067382812,211.55526733398438
416.72503662109375,192.80337524414062,223.9216766357422
390.0429382324219,184.7905731201172,205.25234985351562
372.5841979980469,159.39659118652344,213.1875762939453
363.376220703125,153.53079223632812,209.84542846679688
401.6177673339844,191.09432983398438,210.5234832763672
,,
370.85064697265625,150.12014770507812,220.73046875
396.12701416015625,162.01480102539062,234.11221313476562
387.31597900390625,172.40208435058594,214.9138946533203
376.55218505859375,187.21780395507812,189.33438110351562
379.6527404785156,172.10446166992188,207.5482940673828
394.0320739746094,176.43551635742188,217.5965576171875
399.32965087890625,180.19049072265625,219.13916015625
,,
359.66253662109375,184.41075134277344,175.2517547607422
392.80389404296875,175.12632751464844,217.67758178710938
396.4851379394531,163.50186157226562,232.98324584960938
395.4148864746094,177.9871368408203,217.4277801513672
396.04541015625,195.67776489257812,200.36764526367188
377.81121826171875,190.92404174804688,186.88717651367188
372.8702392578125,146.0858154296875,226.78445434570312
397.21478271484375,189.43714904785156,207.7776336669922
386.12762451171875,183.1904754638672,202.9371337890625
386.32269287109375,158.66748046875,227.6552276611328
380.51031494140625,155.1845245361328,225.32583618164062
378.6463623046875,181.5869598388672,197.05938720703125
386.95513916015625,194.26376342773438,192.69134521484375
396.04534912109375,176.30613708496094,219.7392120361328
394.6365051269531,195.33877563476562,199.2977294921875
385.2459411621094,163.32608032226562,221.9198760986328
359.2769775390625,169.60171508789062,189.6752471923828
391.7835998535156,185.60824584960938,206.17529296875
411.97589111328125,173.07456970214844,238.90127563476562
388.9046936035156,173.74644470214844,215.15823364257812
404.64434814453125,190.66635131835938,213.97802734375
393.00933837890625,185.7100372314453,207.29928588867188
387.193115234375,177.41372680664062,209.77938842773438
382.55474853515625,187.22390747070312,195.330810546875
388.13751220703125,185.69619750976562,202.4413299560547
384.7296142578125,181.6867218017578,203.04287719726562
391.4556579589844,182.44821166992188,209.0074462890625
402.0745849609375,184.36294555664062,217.71163940429688
400.2791442871094,181.2119598388672,219.0671844482422
375.8683166503906,177.3082733154297,198.56008911132812
388.84033203125,169.89389038085938,218.9464111328125
389.317626953125,172.43386840820312,216.88375854492188
374.4257507324219,158.62229919433594,215.803466796875
375.71966552734375,183.75265502929688,191.96701049804688
381.0421142578125,172.5859832763672,208.4561309814453
388.6689453125,177.60546875,211.06350708007812
393.97222900390625,175.04562377929688,218.92666625976562
392.4534606933594,186.49765014648438,205.95578002929688
399.42974853515625,167.42489624023438,232.00485229492188
386.0008239746094,171.13735961914062,214.8634796142578
379.2046813964844,176.8100128173828,202.39466857910156
397.3281555175781,181.2308807373047,216.09725952148438
388.1017150878906,151.25686645507812,236.8448486328125
396.9732666015625,173.09519958496094,223.87808227539062
387.748046875,177.78701782226562,209.96102905273438
387.70550537109375,175.95541381835938,211.75015258789062
375.73858642578125,153.24481201171875,222.49380493164062
391.96405029296875,177.86227416992188,214.10183715820312
384.190185546875,185.6262664794922,198.56394958496094
393.5960998535156,194.3301544189453,199.26596069335938
397.1333923339844,171.31729125976562,225.8160858154297
388.68194580078125,169.85140991210938,218.8304901123047
391.3936462402344,162.1764373779297,229.2172088623047
396.9842224121094,175.13580322265625,221.84841918945312
385.67681884765625,167.04443359375,218.63241577148438
367.06695556640625,166.87698364257812,200.18992614746094
394.6003112792969,185.83642578125,208.76388549804688
390.58062744140625,179.35488891601562,211.2257843017578
400.33697509765625,174.7179412841797,225.61904907226562
,,
355.7133483886719,160.25070190429688,195.46266174316406
395.4035339355469,188.7670135498047,206.6365203857422
385.79376220703125,190.6253204345703,195.16842651367188
390.73187255859375,187.44903564453125,203.2828369140625
404.8312072753906,189.39328002929688,215.4379119873047
379.29302978515625,178.25717163085938,201.0358123779297
406.3200378417969,212.2899169921875,194.0301055908203
388.992919921875,176.65402221679688,212.33889770507812
406.99932861328125,202.9748077392578,204.02450561523438
388.96661376953125,164.64169311523438,224.32492065429688
375.91375732421875,166.70645141601562,209.2073211669922
409.9269104003906,192.1652069091797,217.7616729736328
369.48712158203125,152.76779174804688,216.7193603515625
,,
396.56878662109375,184.50088500976562,212.0679168701172
383.14093017578125,169.17263793945312,213.9683380126953
385.3218994140625,175.76937866210938,209.55245971679688
401.52642822265625,196.6288604736328,204.89761352539062
371.52777099609375,161.03012084960938,210.4976348876953
,,
386.1141662597656,192.55264282226562,193.5615234375
399.1069641113281,174.64891052246094,224.45803833007812
411.7615661621094,190.51266479492188,221.24887084960938
395.9824523925781,191.497314453125,204.485107421875
393.4362487792969,172.62799072265625,220.8082733154297
395.3027648925781,182.94346618652344,212.3592987060547
386.4844055175781,174.1925048828125,212.29190063476562
396.72589111328125,166.42697143554688,230.29885864257812
395.0469665527344,164.42953491210938,230.617431640625
400.8771057128906,196.03134155273438,204.8457794189453
406.69891357421875,165.92623901367188,240.77267456054688
394.990234375,154.24134826660156,240.74887084960938
389.6797180175781,154.54989624023438,235.1298065185547
